Set #,Title in NIV,Book,Breaks,Description
1,,ROM,1:1-7,
1,Paul's Longing to Visit Rome,ROM,1:8-17,
2,God's Wrath Against Mankind,ROM,1:18-27,
3,God's Righteous Judgment,ROM,2:1-16,
4,The Jews and the Law,ROM,2:17-27,
5,God's Faithfulness,ROM,3:1-8,
6,No One is Righteous,ROM,3:9-20,
7,Righteousness Through Faith,ROM,3:21-26,
8,Abraham Justified by Faith,ROM,4:1-17,
9,Peace and Joy,ROM,5:1-11,
10,Death Through Adam, Life Through Christ,ROM,5:12-19,
11,Dead to Sin, Alive in Christ,ROM,6:1-14,
12,Slaves to Righteousness,ROM,6:15-18,
13,An Illustration From Marriage,ROM,7:1-6,
14,Struggling With Sin,ROM,7:7-25,
15,Life Through the Spirit,ROM,8:1-17,
16,Future Glory,ROM,8:18-27,
17,More Than Conquerors,ROM,8:28-36,
18,God's Sovereign Choice,ROM,9:1-29,
19,Israel's Unbelief,ROM,9:30-33,
22,Israel's Unbelief,ROM,10:1-21,
20,The Remnant of Israel,ROM,11:1-10,
21,Ingrafted Branches,ROM,11:11-24,
22,All Israel Will Be Saved,ROM,11:25-32,
23,Doxology,ROM,11:33-36,
24,Living Sacrifices,ROM,12:1-8,
25,Love,ROM,12:9-20,
26,Submission to the Authorities,ROM,13:1-7,
27,Love, for the Day is Near,ROM,13:8-10,
28,The Weak and the Strong,ROM,14:1-21,
33,The Weak and the Strong,ROM,15:1-13,
29,Paul the Minister to the Gentiles,ROM,15:14-22,
30,Paul's Plan to Visit Rome,ROM,15:23-29,
31,Personal Greetings,ROM,16:1-24,
